epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19736.8,1.3103,1.15104,1.36989,0.61791,0.58743,0.62899,0.37989,1.4002,1.2147,1.50087,0.00485566,0.00485566,0.00485566
43,20205.5,1.30015,1.1322,1.36453,0.62092,0.58746,0.63014,0.38057,1.39888,1.21293,1.49925,0.00466163,0.00466163,0.00466163
44,20674.6,1.30136,1.12999,1.36767,0.62329,0.58586,0.63059,0.38111,1.39802,1.21109,1.49828,0.00446819,0.00446819,0.00446819
45,21155.2,1.30247,1.12617,1.36747,0.62296,0.58863,0.63196,0.38201,1.39678,1.20792,1.497,0.00427565,0.00427565,0.00427565
46,21624,1.29886,1.11949,1.36549,0.62388,0.58988,0.63332,0.38334,1.39555,1.20509,1.49611,0.0040843,0.0040843,0.0040843
47,22092.9,1.28477,1.11015,1.35654,0.62322,0.59125,0.63421,0.38402,1.39443,1.20272,1.49525,0.00389445,0.00389445,0.00389445
48,22561.4,1.27903,1.10829,1.35368,0.62281,0.59384,0.63487,0.38444,1.39383,1.20111,1.49486,0.00370637,0.00370637,0.00370637
49,23030.3,1.27057,1.08722,1.34612,0.62468,0.59347,0.63586,0.38523,1.39295,1.19894,1.49393,0.00352037,0.00352037,0.00352037
50,23499.2,1.28584,1.09729,1.35676,0.62529,0.59512,0.63715,0.38586,1.3927,1.19625,1.4936,0.00333672,0.00333672,0.00333672
51,23969.1,1.27193,1.07921,1.34719,0.62568,0.59587,0.63829,0.38635,1.39192,1.1941,1.49274,0.00315572,0.00315572,0.00315572
52,24443.7,1.2675,1.07062,1.34242,0.62595,0.59516,0.63864,0.38653,1.39176,1.19313,1.49225,0.00297763,0.00297763,0.00297763
53,24925.2,1.26117,1.07586,1.33875,0.62638,0.59557,0.63934,0.387,1.39146,1.19193,1.49192,0.00280275,0.00280275,0.00280275
54,25394.4,1.26553,1.05607,1.34165,0.62722,0.59482,0.64008,0.38758,1.39074,1.18926,1.49137,0.00263132,0.00263132,0.00263132
55,25862.4,1.25333,1.05762,1.33101,0.6283,0.59563,0.64071,0.38821,1.39014,1.18734,1.49074,0.00246363,0.00246363,0.00246363
56,26330.2,1.25519,1.05768,1.3343,0.63017,0.59425,0.64105,0.38855,1.38924,1.18569,1.48997,0.00229993,0.00229993,0.00229993
57,26799.2,1.25521,1.05382,1.33397,0.63043,0.59438,0.6417,0.38891,1.38853,1.18386,1.48936,0.00214046,0.00214046,0.00214046
58,27267.4,1.24863,1.04807,1.33277,0.63204,0.59386,0.64224,0.38911,1.388,1.18274,1.48889,0.00198548,0.00198548,0.00198548
59,27736.8,1.23952,1.03969,1.32479,0.63391,0.59261,0.64257,0.3895,1.38716,1.1811,1.48809,0.00183523,0.00183523,0.00183523
60,28214.5,1.23819,1.02052,1.32117,0.63568,0.59214,0.64279,0.3901,1.38668,1.17971,1.48758,0.00168994,0.00168994,0.00168994
61,28687.1,1.23818,1.03252,1.32354,0.63563,0.59353,0.64354,0.39041,1.38598,1.17848,1.48699,0.00154982,0.00154982,0.00154982
62,29155.7,1.2326,1.01667,1.31864,0.63655,0.59423,0.64403,0.39083,1.38556,1.17734,1.48651,0.0014151,0.0014151,0.0014151
63,29623.7,1.22592,1.01065,1.31532,0.63424,0.59686,0.64462,0.39126,1.38501,1.17639,1.48594,0.00128599,0.00128599,0.00128599
64,30092.3,1.22344,1.00181,1.30987,0.63707,0.59564,0.64521,0.39174,1.38426,1.17539,1.48514,0.00116268,0.00116268,0.00116268
65,30560.2,1.23476,1.01798,1.321,0.63628,0.59723,0.64565,0.39208,1.38375,1.17458,1.48475,0.00104537,0.00104537,0.00104537
66,31028.4,1.21947,1.00313,1.31049,0.63817,0.59693,0.64652,0.39252,1.38333,1.17343,1.48437,0.000934225,0.000934225,0.000934225
67,31495.9,1.22736,1.00327,1.31565,0.63651,0.59903,0.64681,0.39295,1.38286,1.17259,1.48386,0.000829431,0.000829431,0.000829431
